COOLING DEGREE DAY TOTALS BY MONTH, MISSING=-9999
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
0399 1934      2     0     8    45   177   472   629   607   206   107     9     0   2261
0399 1935      2     2    49    22   110   278   525   520   234    76     2     0   1819
0399 1936      0     0    39    19   197   438   557   613   409    57     0     0   2329
0399 1937      1     0     4    38   190   399   468   526   234    43     0     0   1904
0399 1938      1     9    58    34   168   310   516   549   307   119     2     0   2073
0399 1939      2     0    24    15   151   368   509   447   423   107     0     1   2050
0399 1940      0     0    12    20   100   295   401   377   189    93     0     3   1491
0399 1941      1     0     4    59   199   324   496   475   302   152     2     0   2015
0399 1942      0     0    17    43   126   352   484   409   201    59     7     0   1697
0399 1943      0     2     2    55   193   429   545   594   218    45     1     0   2084
0399 1944      1     3    11    25   178   412   484   448   261    73     5     0   1901
0399 1945      0     1    50    41    94   292   394   413   265    39     6     0   1595
0399 1946      0     4    42    66    93   307   477   416   221    71     5     9   1710
0399 1947      1     0     2    40   118   340   400   594   313   154     1     0   1963
0399 1948      0     0    11    92   141   370   468   396   234    38     1     1   1753
0399 1949      1     2    10    27   205   374   486   388   156    63     3     1   1716
0399 1950      9     2     7    17   168   326   357   325   170   115     1     0   1496
0399 1951      0     1    12    14   154   319   472   502   221    75     0     1   1772
0399 1952      8     4     8    14   158   504   531   492   219    16     0     0   1953
0399 1953      4     1    30    12   189   545   465   445   290    94     2     0   2077
0399 1954      1     9    11    97    75   435   638   618   361    82     2     0   2329
0399 1955      0     0    18    85   206   234   508   434   313    57     1     0   1856
0399 1956      0     2    12    24   236   325   495   517   236   111     1     4   1963
0399 1957      0     7     7    40   182   340   488   407   189    29     0     4   1693
0399 1958      0     0     2    28   157   331   454   426   258    44     5     0   1704
0399 1959      0     0    11    32   242   309   402   457   269    63     0     0   1785
0399 1960      0     0     0    59   108   330   434   453   301    82     4     0   1772
0399 1961      0     3    21    13   109   258   403   348   226    58     1     0   1441
0399 1962      0     5     3    26   285   317   480   454   212    96     2     0   1879
0399 1963      0     0    36    60   175   386   464   470   251   166    11     0   2019
0399 1964      0     0    13    65   197   371   511   417   223    26     7     0   1829
0399 1965      1     0     1    96   208   325   472   417   252    41    12     1   1826
