COOLING DEGREE DAY TOTALS BY MONTH, MISSING=-9999
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
3899 1943     11     3    10    27   229   477   446   464   189    48     3     1   1907
3899 1944      7     8    15    30   244   458   397   383   308    70     5     0   1924
3899 1945      6     7    93    87   130   405   449   390   343    62    13     0   1984
3899 1946     10     5    54    47   169   344   408   365   235    71    26     7   1742
3899 1947     21     0     2    83   198   332   358   432   285   134     4     3   1852
3899 1948      0     2    33    74   202   392   482   385   208    27    23     8   1838
3899 1949     38    14    17    26   195   356   486   411   208   136     4     5   1896
3899 1950     55    10     8    23   240   402   398   381   205   107     4     1   1834
3899 1951      8     2    18    24   157   380   464   476   269   119     2     7   1924
3899 1952     28     3    16    29   228   508   505   420   231    29     7     1   2005
3899 1953     16     6    23    36   326   400   475   429   247    89     5     3   2055
3899 1954     12     8    17    94   101   401   525   525   360   102     3     1   2148
3899 1955      6     4    35    81   245   253   479   471   290    61     5     0   1928
3899 1956      3    11    15    27   220   372   473   463   197    91     5    25   1903
3899 1957     13    16    12    66   198   374   437   395   299    31    10     4   1854
3899 1958      0     0     5    38   189   361   469   451   263    40    21     0   1838
3899 1959      6     5    10    61   244   351   433   462   249   102     8     3   1933
3899 1960      7     1     0    74   159   355   443   444   274    97    13     0   1866
3899 1961      1     6    33     6   122   291   428   383   300    50    20     3   1643
3899 1962      5     8     6    28   318   325   459   417   223    92     4     0   1886
3899 1963      2     0    39    54   158   320   396   439   189    69     9     0   1675
3899 1964      4     0    17    39   198   396   374   369   234    28    18     6   1682
3899 1965      8     2     8    55   275   270   410   426   263    50     9     2   1778
3899 1966      1     1     8    28   145   249   449   385   219    57     5     1   1548
3899 1967     11     0    36    71   119   257   369   343   113    40     2     8   1369
3899 1968      1     0    16    43   139   326   427   478   226    76     5     0   1736
3899 1969      2     0     3    44   152   389   510   334   194    78     2     0   1708
3899 1970      0     1    16    60   188   337   472   420   327    98     3     6   1929
3899 1971      6     1     4    24   121   374   395   381   280   139     6    23   1755
3899 1972     22     1    17    29   109   231   404   398   283    62     5     9   1570
3899 1973      6     0    40    16   137   338   444   403   326    95    18     3   1826
3899 1974     58     4    45    36   209   277   401   380   208    34     5     4   1659
3899 1975     17     7    12    26   237   334   381   452   243   101    13     2   1825
3899 1976      3    13    43    36   110   267   414   352   198    25     0     0   1463
3899 1977      0     1    35    70   208   376   528   423   309    37    14     2   2004
3899 1978      0     0    10    48   151   361   453   438   302    52    26     5   1848
3899 1979      2     0    24    45   156   250   398   419   241    55    12     1   1603
3899 1980      7     0     8    39   168   335   523   497   357    47     3     1   1984
3899 1981      0     1     8    86   129   467   480   348   201    41     5     0   1768
3899 1982      2     6    26    19   225   349   447   386   203    55    11    12   1742
3899 1983      1     1    13     8   156   294   501   494   228    77     6     1   1780
3899 1984      3     4    14    17   152   361   386   408   182   168     3    17   1716
3899 1985      1     2    28    54   182   367   418   369   223   135    68     1   1848
3899 1986      3    10    19    53   199   441   583   401   288    93    26     4   2121
3899 1987      4     0    12    16   220   377   494   501   272    17    10     5   1928
3899 1988      0     1    15    29   131   302   433   471   240    21     9     1   1653
3899 1989     17     5    20    23   118   369   429   389   237    71    14     0   1694
3899 1990     21    17    33    31   182   373   494   455   273   101    13    10   2004
3899 1991      8     6    27    73   260   342   494   402   251    75     3     7   1947
3899 1992      7     6    13    22   101   276   500   361   247    38    10     2   1584
3899 1993     14     1     7    12   179   385   592   453   304    64    12     1   2024
3899 1994      2     4    30    61   120   386   435   360   199    48    19     7   1672
3899 1995      7     1    29    55   220   307   497   467   214    99     3     0   1899
3899 1996      5     2     5    31   223   342   465   377   225    54     2     4   1735
3899 1997      8     7    59    12    93   239   457   367   244    66     2     2   1558
3899 1998     13     4    11    38   244   442   523   436   307    92    19    11   2140
3899 1999     16     5     8    75   129   301   478   521   210    49    18     3   1814
3899 2000      5     4    27    20   253   387   454   412   211    56     5     0   1833
3999 1931      0     0     0     3    32   314   379   244   157    12     0     0   1140
3999 1932      0     0     0     6    56   182   327   248    63     0     0     0    882
3999 1933      0     0     0     0    38   365   376   174   133     5     0     0   1091
3999 1934      0     0     0     7   201   216   399   239    24     9     0     0   1095
3999 1935      0     0     0     0    10    98   444   252    81     3     0     0    888
3999 1936      0     0     0     0   105   212   587   366   124     3     0     0   1397
3999 1937      0     0     0     1    60   114   359   409   101     4     0     0   1046
3999 1938      0     0     2     1    26   164   314   345   109    28     0     0    989
3999 1939      0     0     0     2   117   147   385   221   124     4     0     0    999
3999 1940      0     0     0     0    37   165   387   196   133    33     0     0    952
3999 1941      0     0     0     6    92   139   320   279    74     3     0     0    913
3999 1942      0     0     0     7    16   113   249   219    27     1     0     0    631
3999 1943      0     0     0     6    18   137   321   271    45     5     0     0    803
3999 1944      0     0     0     1    76   117   215   184    49     5     0     0    647
3999 1945      0     0     2     0    12    47   234   204    42     4     0     0    544
3999 1946      0     0     6    10    15   146   281   150    47     2     0     0    658
3999 1947      0     0     0     0    17    79   265   378    78    30     0     0    847
3999 1948      0     0     0     8    32   102   266   225   130     5     0     0    768
3999 1949      0     0     0     4    66   159   318   268    35     1     0     0    851
3999 1950      0     0     0     0    19   124   148   128    44     9     0     0    473
3999 1951      0     0     0     1    35    50   200   149    17     0     0     0    451
3999 1952      0     0     0     4    36   207   268   195   102     2     0     0    814
3999 1953      0     0     0     0    32   176   250   234    67    14     0     0    773
3999 1954      0     4     0     3    14   139   347   207    70     1     0     0    785
3999 1955      0     0     0    18    78    99   387   344    74     8     0     0   1009
3999 1956      0     0     0     0    56   270   216   184    55    17     0     0    798
3999 1957      0     0     0     0    22   103   344   217    34     1     0     0    721
3999 1958      0     0     0     2    69    80   170   262    89     6     0     0    679
3999 1959      0     0     0     0    40   217   266   316    56     0     0     0    895
3999 1960      0     0     0     2    29   103   291   225    68     4     0     0    721
3999 1961      0     0     0     0    26   166   231   277    31     3     0     0    735
3999 1962      0     0     0     3    60   109   185   191    36     4     0     0    588
3999 1963      0     0     1     1    43   220   305   219    92    31     1     0    913
3999 1964      0     0     0     4    64   148   354   146    40     3     0     0    758
3999 1965      0     0     0     3    46   122   243   198     5     6     0     0    623
3999 1966      0     0     0     0    33   151   388   139    43     3     0     0    757
3999 1967      0     0     0     0    14    99   214   172    60     2     0     0    562
3999 1968      0     0     3     0    17   153   229   194    49     3     0     0    647
3999 1969      0     0     0     8    51    62   251   274    98     0     0     0    745
3999 1970      0     0     0     1    58   178   306   269    71     1     0     0    886
3999 1971      0     0     0     2    28   200   178   260    52     3     0     0    724
3999 1972      0     0     0     0    47   137   188   196    54     1     0     0    623
3999 1973      0     0     1     0    33   156   268   322    37     7     0     0    825
3999 1974      0     0     0     2    25   136   396   145    27     5     0     0    736
3999 1975      0     0     0     0    51   123   356   229    32     4     0     0    796
3999 1976      0     0     0     5    31   175   329   288    79     1     0     0    907
3999 1977      0     0     0    12   109   185   317   126    57     3     0     0    809
3999 1978      0     0     0     0    39   135   232   198   122     5     0     0    731
3999 1979      0     0     0     0    19   128   232   158    97     5     0     0    638
3999 1980      0     0     0     5    49   172   331   202    74     1     0     0    835
3999 1981      0     0     1    11    27   151   273   183    76     1     0     0    723
3999 1982      0     0     0     1    41    70   275   212    46     2     0     0    647
3999 1983      0     0     0     0    20   111   336   378    76     1     0     0    923
3999 1984      0     0     0     1    25   134   251   270    26     0     0     0    707
3999 1985      0     0     0     9    77    85   264   130    26     3     0     0    593
3999 1986      0     0     3     1    48   192   286   150    35     4     0     0    718
3999 1987      0     0     0    12    91   203   321   145    59     1     0     0    833
3999 1988      0     0     0     1    95   312   326   262    64     1     0     0   1062
3999 1989      0     0     0     3    36   118   344   231    51     2     0     0    785
3999 1990      0     0     0     0    25   162   219   224   119     2     0     0    751
3999 1991      0     0     0     4    57   210   260   250    63     2     0     0    845
3999 1992      0     0     0     1    54    95    97    91    41     2     0     0    379
3999 1993      0     0     0     0    30    75   159   162    18     0     0     0    445
3999 1994      0     0     0     1    72   160   171   158    74     5     0     0    641
3999 1995      0     0     0     0    19   135   249   278    46     1     0     0    727
3999 1996      0     0     0     0    19   157   180   191    37     2     0     0    586
3999 1997      0     0     0     0    19   167   240   169    77     7     0     0    678
3999 1998      0     0     0     5    65    77   271   226   139     5     0     0    787
3999 1999      0     0     0     1    35   119   296   207    36     0     0     0    694
3999 2000      0     0     1     1    52   111   265   253    68     7     0     0    757
4099 1931      0     1     0    11    78   343   459   316   328    88    12    10   1646
4099 1932     15    10     1    25   118   340   451   410   193    35     0     0   1597
4099 1933     13     0     7    16   199   320   386   333   321    51     0     8   1653
4099 1934      6     0     5    20   154   367   499   435   192    54     5     0   1736
4099 1935      3     1    38    12   122   224   440   432   199    54     3     0   1527
4099 1936      0     0    21     7   185   386   470   470   304    58     0     0   1901
4099 1937     20     0     2    16   142   336   358   432   166    24     0     0   1497
4099 1938      0     9    37    25   135   227   401   431   198    58     1     0   1521
4099 1939      5     1    15     7   125   335   403   348   297    83     0     0   1620
4099 1940      0     0     5     9    74   278   341   366   140    59     0     3   1276
4099 1941      1     0     2    46   170   328   435   424   281   138     1     1   1826
4099 1942      0     0    12    27   127   339   439   320   156    42     4     0   1466
4099 1943      1     0     1    16   176   415   439   448   133    22     0     0   1649
4099 1944      2     3     9    13   197   382   392   377   209    34     1     0   1619
4099 1945      0     1    56    25    66   249   363   351   259    29     2     0   1401
4099 1946      0     1    43    35    88   268   394   264   163    42     6     2   1308
4099 1947      8     0     1    31    82   265   258   461   229   116     1     0   1452
4099 1948      0     1    18    49   107   315   413   330   181    22     0     1   1438
4099 1949     15     2     6    10   148   307   440   339   107    87     1     2   1464
4099 1950     26     2     4     7   179   271   303   249   135    88     1     0   1266
4099 1951      2     0     9     7   116   287   403   412   185    64     0     2   1486
4099 1952     12     2     6    11   143   475   472   390   154     9     0     0   1674
4099 1953     10     1    16     7   196   412   393   369   190    59     1     0   1654
4099 1954      2     5     7    63    49   330   504   465   287    58     0     0   1771
4099 1955      0     0    14    50   167   157   442   420   273    40     0     0   1564
4099 1956      0     5     9    12   167   264   400   384   144    74     0    10   1470
4099 1957      0     7     6    46   151   315   382   333   200    19     0     2   1461
4099 1958      0     0     2    17   125   276   402   335   187    29     3     0   1376
4099 1959      0     0     5    22   188   242   367   393   215    61     0     0   1494
4099 1960      0     0     0    38    72   264   360   380   220    52     1     0   1388
4099 1961      0     4    16     3    66   198   319   299   209    34     1     0   1150
4099 1962      0     4     1    13   263   257   363   352   150    58     1     0   1462
4099 1963      0     0    24    28   109   261   313   320   149    77     4     0   1284
4099 1964      0     0     8    34   142   308   346   299   169    15     2     0   1323
4099 1965      0     0     1    48   180   242   345   331   208    23     3     0   1381
4099 1966      0     0     8    12    82   227   425   284   134    15     1     0   1189
4099 1967      3     0    29    44    74   250   246   216    86    29     0     1    978
4099 1968      0     0     7    17    89   264   360   391   137    29     1     0   1295
4099 1969      0     0     0    26   114   285   445   300   141    33     0     0   1345
4099 1970      0     0     3    30   132   225   328   354   279    51     0     1   1404
4099 1971      0     0     1    12    59   320   313   287   223   109     1     8   1332
4099 1972      3     0     8    20    95   186   314   319   237    31     0     0   1214
4099 1973      0     0    32     7    69   300   382   313   242    71     4     0   1420
4099 1974     12     0    25    13   126   153   354   300    96    17     1     0   1097
4099 1975      6     0     2    11   158   253   339   364   108    40     2     0   1283
4099 1976      0     7    22    14    43   215   305   254   117    10     0     0    988
4099 1977      0     0    20    37   163   281   440   367   229    16     1     0   1554
4099 1978      0     0     4    28    91   277   399   358   254    20     4     0   1435
4099 1979      0     0    12    13    91   223   322   315   147    30     0     0   1153
4099 1980      0     0     2     9   105   267   492   463   271    22     0     0   1631
4099 1981      0     0     4    60    61   333   409   306   120    20     1     0   1316
4099 1982      0     0    16     5   182   218   407   303   131    35     0     4   1301
4099 1983      0     0     8     1    80   225   422   461   181    47     2     0   1425
4099 1984      0     1     3    10    73   317   310   317   119   108     0     9   1268
4099 1985      0     0    18    27   121   257   365   313   146    71    18     0   1335
4099 1986      0     1    10    27   133   327   478   311   243    47     2     0   1578
4099 1987      0     1    13     9   227   310   402   423   184     7     1     0   1578
4099 1988      0     0     9    13    93   273   387   417   189     7     1     0   1388
4099 1989      9     0    15    10    68   240   349   317   149    29     2     0   1188
4099 1990      9     7    15     8    84   280   358   345   216    27     4     0   1353
4099 1991      0     1    14    37   196   289   416   332   189    47     0     0   1521
4099 1992      0     2     7    13    75   191   377   227   154    24     0     0   1071
4099 1993      4     0     3     6   107   269   491   387   151    23     0     0   1441
4099 1994      0     0     8    29    55   325   341   285   117    32     5     2   1200
4099 1995      0     0    18    19   118   229   390   453   147    35     0     0   1410
4099 1996      0     0     0     8   162   262   328   315   130    35     0     0   1240
4099 1997      0     2    20     2    53   198   389   287   166    32     0     0   1149
4099 1998      7     2     6    14   180   328   409   354   289    64     2     0   1655
4099 1999      6     3     2    44   107   292   455   377   171    28     6     0   1490
4099 2000      1     3    16     8   168   284   371   378   173    57     1     0   1459
4199 1931     13    19    15    46   172   475   568   501   490   279    87    13   2678
4199 1932     28    54    19   137   261   479   598   573   337   117    12     3   2618
4199 1933     44    10    78   135   362   450   583   545   494   228    53    48   3027
4199 1934     22    11    33   146   295   560   628   625   367   257    70    13   3028
4199 1935     30    14   122   131   222   424   564   590   300   201    35     6   2637
4199 1936      8     4    95    83   275   512   534   597   415    97    14    10   2645
4199 1937     17    15    21   119   313   504   585   625   406   164    20     9   2798
4199 1938     21    40   132    90   281   472   561   578   388   224    25    11   2823
4199 1939     25    14    78   123   333   491   604   555   456   212    18    17   2925
4199 1940      1    14    60   100   252   387   525   515   330   182    28    18   2411
4199 1941     24     6    17   117   287   408   538   552   413   263    25    12   2663
4199 1942      7     8    40   112   263   469   516   537   297   154    62    17   2482
4199 1943     12    30    30   181   316   488   581   636   332   119    23     5   2753
4199 1944     11    35    48   116   235   492   587   586   357   147    44     5   2663
4199 1945     15    25   121   105   253   455   524   547   398   118    78     6   2644
4199 1946     10    20    81   170   268   410   575   569   356   196    44    20   2719
4199 1947      9     3    21   123   267   488   567   567   421   298    28    10   2801
4199 1948      4    11    43   200   322   517   590   602   359   148    32    27   2853
4199 1949      9    23    53    75   344   478   571   510   375   166    47    21   2671
4199 1950     56    36    42   108   326   446   515   525   364   243    40    11   2713
4199 1951     16    13    61   104   283   477   622   669   415   218    23    19   2919
4199 1952     60    31    43    75   250   507   563   657   374    82    27     7   2678
4199 1953     30    14   123   110   297   598   588   547   382   184    30     3   2906
4199 1954     23    41    45   203   204   505   659   632   480   218    31    17   3059
4199 1955     15    12    75   190   352   412   569   553   434   166    35    11   2824
4199 1956     15    24    56   115   372   511   623   606   434   243    25    21   3043
4199 1957     25    53    44   100   271   442   627   588   330   101    24    17   2622
4199 1958      8     5    19   108   294   514   591   594   396   128    46     4   2708
4199 1959      6    11    36    79   337   466   517   544   420   169    11    11   2610
4199 1960     11     4    19   152   239   500   565   538   382   211    57     4   2681
4199 1961      5    18    81    90   295   404   497   489   365   158    24    12   2438
4199 1962      5    58    29   117   344   433   586   625   411   254    35     7   2904
4199 1963      3     8    92   229   332   497   604   612   419   260    66     1   3123
4199 1964     10     4    46   164   332   456   611   606   389   104    65     9   2795
4199 1965     25     7    20   195   293   450   583   537   416   111    97    20   2754
4199 1966      4     4    46   126   250   414   594   501   340   113    67     9   2468
4199 1967     13     9   120   253   264   486   536   495   284   126    46     8   2639
4199 1968      8     3    28   121   267   416   489   538   305   188    27     8   2397
4199 1969     20    15    13   137   244   446   647   590   379   158    27    14   2690
4199 1970      4    12    23   144   215   410   542   575   385   112    18    41   2482
4199 1971     29    19    56   106   273   495   577   446   354   198    43    29   2625
4199 1972     23    16   105   191   246   457   496   511   441   174    12     4   2677
4199 1973      4     7    81    56   242   395   536   485   370   195   101    12   2485
4199 1974     14    20   120   131   355   417   559   491   217   146    29     6   2506
4199 1975     24    13    53   108   281   432   499   511   279   153    42     7   2402
4199 1976     11    44    70   120   171   403   455   514   336    46     4     2   2177
4199 1977      1    13    57   103   300   487   588   591   489   184    53    14   2882
4199 1978      1     1    38   148   331   486   639   555   392   151    58     9   2810
4199 1979      2     6    61   117   200   414   542   499   306   206    18     7   2376
4199 1980     18     7    43    77   287   552   671   602   455   121    16     9   2859
4199 1981      9    11    46   197   239   458   572   535   346   167    59    11   2650
4199 1982     13     7    79    96   267   445   585   603   399   147    36    11   2689
4199 1983      9     9    34    61   229   382   538   571   364   165    68     1   2431
4199 1984      4    16    58   127   307   470   556   558   321   185    34    48   2683
4199 1985      3     5    90   149   308   442   532   613   394   175    76     5   2791
4199 1986     19    29    70   177   267   452   596   541   443   140    34     5   2772
4199 1987      9    16    27    83   300   412   520   594   350   130    33    12   2486
4199 1988      5     9    45   104   241   418   550   593   388   161    68    14   2596
4199 1989     33     6    50   127   340   404   527   506   302   160    64     0   2522
4199 1990     31    32    58   113   307   557   506   550   404   124    65     8   2755
4199 1991      7    22    78   170   327   458   542   520   296   191    14    16   2641
4199 1992      9    27    69   101   205   428   540   443   378   183    18    13   2415
4199 1993     12    15    42    72   216   444   591   604   375   134    17    13   2535
4199 1994     14    12    59   114   243   511   571   526   324   165    75    18   2632
4199 1995     17    25    45   101   292   403   577   569   379   157    34    12   2610
4199 1996     12    21    20   109   429   492   611   516   335   156    48    17   2767
4199 1997      9    15    78    48   229   415   581   557   435   159    20     5   2551
4199 1998     34    19    40    93   398   584   689   596   481   206    67    11   3218
4199 1999     31    50    63   175   292   465   549   644   378   144    68    11   2871
4199 2000     36    53    96   127   379   448   614   630   430   182    27     2   3023
4299 1931      0     0     0     4    21   162   325   225    54    13     0     0    805
4299 1932      0     0     0     2    19    76   213   177    62     3     0     0    551
4299 1933      0     0     0     1     7   195   333   171    80    16     0     0    803
4299 1934      0     0     2    16    86    95   310   260    42    12     0     0    823
4299 1935      0     0     0     2     9   126   275   224    92     6     0     0    733
4299 1936      0     0     0     7    45   154   293   217    41     5     0     0    763
4299 1937      0     0     0     2    42    82   262   241    93    12     0     0    735
4299 1938      0     0     0     3    13   122   193   203   104    14     0     0    653
4299 1939      0     0     0     6    35    77   254   209    58     4     0     0    642
4299 1940      0     0     0     4    62   173   307   275    65     9     0     0    896
4299 1941      0     0     0     1    31    73   224   167    26     1     0     0    524
4299 1942      0     0     0     4     8    84   302   209    58    10     0     0    675
4299 1943      0     0     0    14    16    65   242   221    91     9     0     0    660
4299 1944      0     0     0     1    23    43   227   192    59    13     0     0    557
4299 1945      0     0     0     1    23    34   252   197    33    11     0     0    553
4299 1946      0     0     0    10    17   129   277   234    62     2     0     0    731
4299 1947      0     0     0     3    46    54   263   181    72    17     0     0    637
4299 1948      0     0     0     5    22    97   232   211    82     8     0     0    658
4299 1949      0     0     0     9    25    82   252   220    95     3     0     0    686
4299 1950      0     0     0     3    10    80   187   173    47    16     0     0    517
4299 1951      0     0     0     5    20    59   250   169    62     4     0     0    569
4299 1952      0     0     0     6    29   100   214   232    96    21     0     0    698
4299 1953      0     0     0     1     5   101   293   210    98     6     0     0    716
4299 1954      0     0     0    10    38    76   307   172    66     6     0     0    677
4299 1955      0     0     0     1    20    77   227   245    64     9     0     0    642
4299 1956      0     0     0     2    36   140   252   155    88     8     0     0    681
4299 1957      0     0     0     1    14    96   245   230    53     4     0     0    643
4299 1958      0     0     0     1    68   135   214   276    65     9     0     0    769
4299 1959      0     0     0     4    11   161   269   187    33     4     0     0    670
4299 1960      0     0     0     3    21   140   312   154    94     4     0     0    729
4299 1961      0     0     0     1    29   188   300   247    22     2     0     0    790
4299 1962      0     0     0     7    14    88   196   162    70     8     0     0    544
4299 1963      0     0     0     1    41    52   259   233    87    17     0     0    689
4299 1964      0     0     0     1    12    52   276   153    33     8     0     0    535
4299 1965      0     0     0     2     7    59   204   135    10     5     0     0    423
4299 1966      0     0     0     2    43   104   298   189    77     3     0     0    716
4299 1967      0     0     0     0    12    50   269   256    71     5     0     0    662
4299 1968      0     0     0     1    15    95   246    84    27     3     0     0    472
4299 1969      0     0     0     4    58    58   245   266   106     1     0     0    738
4299 1970      0     0     0     0    23    95   229   258    28     1     0     0    634
4299 1971      0     0     0     1    12    94   251   239    26     1     0     0    624
4299 1972      0     0     1     1    29   122   229   181    32     3     0     0    598
4299 1973      0     0     0     1    28    94   218   209    30     4     0     0    583
4299 1974      0     0     0     1    34   165   259   153    59     6     0     0    676
4299 1975      0     0     0     0     7    58   268   136    49     4     0     0    522
4299 1976      0     0     0     2    33    75   270   123    63     3     0     0    570
4299 1977      0     0     0     6     8   190   237   188    57     7     0     0    692
4299 1978      0     0     0     1    11   100   249   147    31     9     0     0    547
4299 1979      0     0     0     1    20   105   247   176   106    13     0     0    668
4299 1980      0     0     0     3     9    94   259   151    55     4     0     0    575
4299 1981      0     0     0     6    13   130   274   252    94     2     0     0    772
4299 1982      0     0     0     1    15    79   188   247    45     1     0     0    577
4299 1983      0     0     0     0    10    79   203   225    71     6     0     0    593
4299 1984      0     0     0     1    34    67   233   203    57     1     0     0    595
4299 1985      0     0     0     8    34   133   284   189    23     3     0     0    674
4299 1986      0     0     1     2    26   190   195   265    25     2     0     0    706
4299 1987      0     0     0    10    34   140   179   158    62    10     0     0    594
4299 1988      0     0     0     4    24   202   329   218    40    20     0     0    838
4299 1989      0     0     1    10    24   103   339   188    66     5     0     0    734
4299 1990      0     0     0     8    17   139   293   211   139     7     0     0    813
4299 1991      0     0     0     1     9    94   282   252    56     7     0     0    701
4299 1992      0     0     0    15    56   121   184   231    62    12     0     0    681
4299 1993      0     0     0     2    42    49   101   139    49     5     0     0    388
4299 1994      0     0     1     4    49   179   319   298   105     5     0     0    961
4299 1995      0     0     0     1     7    54   197   243    86     4     0     0    593
4299 1996      0     0     0     2    28   165   301   236    43     3     0     0    778
4299 1997      0     0     1     1    50   121   201   241    82     4     0     0    701
4299 1998      0     0     0     1    17    49   317   252    97     3     0     0    736
4299 1999      0     0     0     0    15   102   271   234    49     7     0     0    679
4299 2000      0     0     0    11    43   152   330   306    63     6     0     0    912
4399 1931      0     0     0     0     9    34   193    71    26     1     0     0    334
4399 1932      0     0     0     0     8    26    64   102    16     2     0     0    218
4399 1933      0     0     0     0    14    66   132    83    20     0     0     0    315
4399 1934      0     0     0     0    14    59   144    44    48     0     0     0    309
4399 1935      0     0     0     0     1    45   171    99     4     0     0     0    320
4399 1936      0     0     0     0    23    41    86    70    12     1     0     0    232
4399 1937      0     0     0     0    14    40   158   199    19     0     0     0    429
4399 1938      0     0     0     0     5    65   130   145     4     0     0     0    349
4399 1939      0     0     0     0    11    34   110   150    15     0     0     0    321
4399 1940      0     0     0     0    13    25   114    68     8     0     0     0    229
4399 1941      0     0     0     1     8    58   137    40    15     0     0     0    259
4399 1942      0     0     0     0    23    39   103    79    14     1     0     0    259
4399 1943      0     0     0     0     8    73   121    63     5     0     0     0    270
4399 1944      0     0     0     0    41    36   139   145    25     0     0     0    386
4399 1945      0     0     0     0     1    34   113    86    32     0     0     0    266
4399 1946      0     0     0     0     5    29    90    38    20     2     0     0    184
4399 1947      0     0     0     0     6    25   167   170    17     6     0     0    390
4399 1948      0     0     0     0     4    23   127   108    21     0     0     0    282
4399 1949      0     0     0     0    12   132   196   126     6     3     0     0    476
4399 1950      0     0     0     0    10    46   101    66     3     0     0     0    225
4399 1951      0     0     0     0     8    28   113    59    10     1     0     0    219
4399 1952      0     0     0     0     1    58   186    98    21     0     0     0    365
4399 1953      0     0     0     0    17    59   142    73    14     0     0     0    304
4399 1954      0     0     0     0     5    44    69    46     4     2     0     0    169
4399 1955      0     0     0     0    23    46   212   171     9     0     0     0    460
4399 1956      0     0     0     0     1    43    61    68     3     0     0     0    175
4399 1957      0     0     0     0     5    85    81    33    17     0     0     0    220
4399 1958      0     0     0     0     1     8   114    84    13     0     0     0    220
4399 1959      0     0     0     0    17    43   174   152    38     1     0     0    425
4399 1960      0     0     0     1    25    34    68    72    17     0     0     0    217
4399 1961      0     0     0     0     4    36   107    92    84     3     0     0    326
4399 1962      0     0     0     0    10    50    50    78     6     0     0     0    194
4399 1963      0     0     0     0     6    52   146    44     1     2     0     0    250
4399 1964      0     0     0     0    23    30   154    32     5     0     0     0    244
4399 1965      0     0     0     0    18    20    56    80    15     0     0     0    188
4399 1966      0     0     0     0     3    49   113    91     6     0     0     0    261
4399 1967      0     0     0     0     1   100   150    92     9     1     0     0    353
4399 1968      0     0     0     0     2    30   138    60    28     2     0     0    260
4399 1969      0     0     0     0     4    45    99   125    20     0     0     0    292
4399 1970      0     0     0     0    11    42   152   115    17     1     0     0    337
4399 1971      0     0     0     0     8    42   103    83    32     7     0     0    274
4399 1972      0     0     0     0    15    29   126    63    13     0     0     0    246
4399 1973      0     0     0     0     6    74   150   185    12     0     0     0    427
4399 1974      0     0     0     0     2    48   123    96    12     0     0     0    281
4399 1975      0     0     0     0    48    45   209   115     7     0     0     0    424
4399 1976      0     0     0     0     5   104    86    72     7     0     0     0    273
4399 1977      0     0     0     0    21    21   105    83    12     0     0     0    242
4399 1978      0     0     0     0    23    30   109    97     3     0     0     0    262
4399 1979      0     0     0     0    17    36   161    72     8     0     0     0    294
4399 1980      0     0     0     0    10    16   137   125    11     0     0     0    299
4399 1981      0     0     0     0    12    41   132    64     9     0     0     0    258
4399 1982      0     0     0     0    15    12   112    38    12     0     0     0    190
4399 1983      0     0     0     0     4    55   131    99    29     0     0     0    317
4399 1984      0     0     0     0     2    52   110   137     4     0     0     0    305
4399 1985      0     0     0     0     8     9   101    64    14     0     0     0    196
4399 1986      0     0     0     1    15    14    88    65     5     0     0     0    188
4399 1987      0     0     0     0     7    50   143    56    10     0     0     0    266
4399 1988      0     0     0     0    14    22   181   134     8     0     0     0    358
4399 1989      0     0     0     0    19    46   129    71    15     0     0     0    281
4399 1990      0     0     0     0     2    42   110   108     8     0     0     0    269
4399 1991      0     0     0     0    18    41   100   119     5     0     0     0    284
4399 1992      0     0     0     0     7    16    43    55    12     0     0     0    133
4399 1993      0     0     0     0     8    21   122   109     9     0     0     0    269
4399 1994      0     0     0     0     3    72   169    58     6     0     0     0    308
4399 1995      0     0     0     0     7    65   177   103     2     1     0     0    356
4399 1996      0     0     0     0     4    49    91    96    19     0     0     0    258
4399 1997      0     0     0     0     1    53    74    51     6     0     0     0    185
4399 1998      0     0     0     0    32    36   104    90    15     0     0     0    277
4399 1999      0     0     0     0    19    91   172    69    38     0     0     0    388
4399 2000      0     0     0     0     7    18    51    58     6     0     0     0    141
4499 1931      0     0     0     2    60   221   411   274   237    39     3     2   1251
4499 1932     11     1     0     2    62   229   361   336   153    25     0     0   1179
4499 1933      4     0     0     4   129   255   301   295   238    22     0     0   1249
4499 1934      1     0     0     3    89   322   430   272   167    16     0     0   1300
4499 1935      0     0     6     0    43   193   347   284    98    15     1     0    988
4499 1936      0     0     6     1   103   202   368   346   174    36     0     0   1237
4499 1937      7     0     0     2    73   259   300   331    74     7     0     0   1053
4499 1938      0     0     7     7    58   165   328   341   112    15     0     0   1032
4499 1939      0     0     2     2    93   281   275   308   170    31     0     0   1161
4499 1940      0     0     0     1    66   235   287   238    77    11     0     0    914
4499 1941      0     0     0    18    94   194   342   281   186    82     1     0   1198
4499 1942      0     0     2    11   119   248   369   251   141    27     1     0   1170
4499 1943      0     0     0     1   119   349   329   333    92    11     0     0   1234
4499 1944      0     0     0     4   169   271   330   270   143    16     0     0   1203
4499 1945      0     0    27    11    42   225   305   247   210    18     1     0   1085
4499 1946      0     0    11     4    63   181   267   180   124    29     1     0    860
4499 1947      3     0     0     9    73   166   245   354   141    59     0     0   1050
4499 1948      0     0     5     7    69   220   341   265   117     7     2     0   1033
4499 1949      6     0     0     3    76   242   413   303    81    49     0     0   1172
