HEATING DEGREE DAY TOTALS BY MONTH FOR SEASON BEGINNING JULY 1 OF YEAR, MISSING=-9999
STDV YEAR    JUL   AUG   SEP   OCT   NOV   DEC   JAN   FEB   MAR   APR   MAY   JUN   ANNL
0299 1978      0     0     7    45   304   605   644   423   345   147    50     6   2577
0299 1979      0     1     3    63   365   432   439   310   346   150    71     5   2185
0299 1980      0     0     6    79   259   323   385   306   306    84    39     2   1788
0299 1981      0     0     6    94   213   397   521   333   301   130    42     7   2044
0299 1982      0     0     6   103   309   537   473   377   319   232    46     7   2408
0299 1983      0     0     3    75   295   448   476   374   237   161    15     5   2089
0299 1984      0     0     6   133   303   512   541   420   297    90    28     2   2333
0299 1985      0     0    16    78   333   480   329   303   185    95    29     2   1850
0299 1986      0     0    15    95   262   477   540   374   333    81    40     3   2222
0299 1987      0     1     8    39   311   582   532   303   255   126    37     3   2198
0299 1988      0     1     9    33   276   513   539   317   165    47    20     3   1923
0299 1989      0     0     5    68   233   487   513   426   224    84    38     2   2080
0299 1990      0     0     4    59   243   575   509   247   391   156    45     9   2239
0299 1991      0     0     6    46   287   413   516   307   274    80    26     5   1961
0299 1992      0     0     5    54   369   542   422   373   240   109    24     5   2145
0299 1993      0     0     8    69   290   448   463   396   217   103    38     1   2035
0299 1994      0     0     5    91   365   453   492   239   241   162    58     8   2114
0299 1995      0     0     4    49   165   416   435   241   230    88    16     2   1645
0299 1996      0     0    11    69   230   437   467   362   162   137    15     5   1895
0299 1997      0     0     4    80   245   572   446   455   304   210    52     8   2376
0299 1998      0     0     5    72   257   480   411   294   216   192    39     4   1969
0299 1999      0     1     6    40   164   489   390   284   259    71    11     1   1716
0299 2000      0     0     3    99   449   430 -9999 -9999 -9999 -9999 -9999 -9999  -9999
0399 1930  -9999 -9999 -9999 -9999 -9999 -9999   741   505   580   227    93     2  -9999
0399 1931      0     5     2    82   269   541   619   407   548   127    35     1   2637
0399 1932      0     1    17   201   585   811   547   689   435   179    23     0   3488
0399 1933      0     1     4   164   396   531   670   692   515   148    32     0   3153
0399 1934      0     0    33    88   368   757   692   564   274   198    67     8   3050
0399 1935      0     0    23   132   483   865   889   822   317   211    33     0   3775
0399 1936      0     0     5   198   528   636   765   614   550   171    28     1   3497
0399 1937      0     0    25   199   541   743   740   440   242   157    34     3   3126
0399 1938      0     0     9    91   469   682   644   637   362   225    47     2   3167
0399 1939      0     1     1   125   530   623  1189   680   456   205    71     4   3886
0399 1940      0     4    29   118   513   607   704   712   587   134    20     2   3429
0399 1941      0     1     9    73   484   659   871   697   423   139    54     2   3410
0399 1942      0     3    30   148   357   717   754   521   598   144    27     1   3299
0399 1943      0     0    32   184   489   785   737   503   470   203    34     1   3437
0399 1944      0     1    16   129   409   866   798   621   278   143    78     5   3344
0399 1945      1     1    19   193   384   920   774   523   288   101    75     5   3283
0399 1946      0     2    22   135   380   504   727   805   655   163    59     2   3454
0399 1947      0     0     8    73   550   678  1006   682   486    84    43     2   3614
0399 1948      0     3    23   211   448   666   741   557   476   200    25     1   3351
0399 1949      0     4    48   144   412   644   576   540   520   239    39     2   3169
0399 1950      1     8    35    89   558   842   753   598   457   244    44     3   3632
0399 1951      0     1    26   151   629   672   579   489   495   241    50     0   3333
0399 1952      0     0    34   294   484   715   635   556   329   253    46     0   3346
0399 1953      0     1    11   117   488   759   753   431   474    77    94     2   3209
0399 1954      0     0     6   135   456   702   755   626   417    92    19    10   3218
0399 1955      0     1     9   176   495   769   847   557   456   219    17     2   3548
0399 1956      0     0    18    98   494   560   835   463   507   169    28     3   3175
0399 1957      0     3    38   235   476   565   832   804   653   199    38     2   3845
0399 1958      0     1    19   181   388   827   854   624   465   187    16     2   3565
0399 1959      0     1    15   180   595   634   786   752   784   143    61     3   3953
0399 1960      0     1    10   124   437   848   900   533   380   238    68     7   3544
0399 1961      0     5    22   161   483   772   925   490   566   238     9     2   3673
0399 1962      0     2    26   108   483   746   999   737   330   109    31     1   3573
0399 1963      0     0    14    49   400   995   762   709   469   112    22     1   3534
0399 1964      0     2    28   230   354   715   700   651   691   106    17     2   3497
0399 1965      0     2    20   183   296   596   937   682   418   182    55     5   3376
0399 1966      0     7    39   239   351   743   726   693   287    86    64     2   3236
0399 1967      1     8    47   174   501   704   848   765   477   166    60     2   3754
0399 1968      0     1    41   182   513   791   768   650   642   164    33     4   3789
0399 1969      0     3    20   168   501   774   967   648   571   133    25     3   3813
0399 1970      0     0    10   214   507   610   791   641   541   190    81     1   3588
0399 1971      0     4    10    83   460   545   752   586   397   139    43     2   3022
0399 1972      1     1     9   194   605   825   835   665   324   236    73     3   3771
0399 1973      0     2    14    94   321   737   754   550   297   164    22    11   2965
0399 1974      0     6    80   168   449   720   683   638   566   203    27     2   3542
0399 1975      0     3    52   142   430   707   826   397   337   153   112    12   3170
0399 1976      0     5    37   312   664   795  1161   602   352   114    16     1   4058
0399 1977      0     1    10   182   401   759  1105   936   562   126    46     3   4132
0399 1978      0     1    12   200   363   743  1168   811   419   183    62     5   3967
0399 1979      0     3    34   138   537   693   761   755   561   220    44     1   3748
0399 1980      0     0     9   225   488   720   842   604   454    69    84     3   3497
0399 1981      0     4    32   200   394   791   931   722   345   258    26     8   3711
0399 1982      0     1    29   178   439   578   832   598   477   328    77     7   3546
0399 1983      0     0    19   132   428  1102   958   549   514   214    68     1   3984
0399 1984      0     2    31   132   489   481  1030   770   333   128    38     3   3436
0399 1985      0     2    24   121   342   881   722   494   355   122    32     2   3096
0399 1986      0     4     7   169   494   730   821   547   413   176    12     1   3375
0399 1987      0     0    30   263   409   681   943   664   462   181    45     2   3679
0399 1988      0     0    21   252   412   695   653   793   439   156    52     6   3479
0399 1989      1     3    46   146   387   998   614   452   382   184    75     2   3290
0399 1990      0     1    11   220   323   734   879   521   358   128    14     1   3190
0399 1991      0     2    25   147   554   630   757   472   406   168    62     8   3229
0399 1992      0    12    30   173   508   717   811   678   515   276    63     4   3787
0399 1993      0     1    39   243   570   687   895   633   427   130    73     1   3699
0399 1994      0     5    35   146   343   648   759   583   390   182    51     6   3148
0399 1995      0     0    43   160   522   765   848   585   599   232    19     2   3775
0399 1996      0     3    37   184   567   648   832   550   353   283    77     6   3539
0399 1997      0     3    17   187   538   770   655   524   499   194    15     1   3403
0399 1998      0     0     4   128   353   666   719   449   513   124    46     3   3006
0399 1999      0     0    27   152   292   660   732   456   363   200    25     4   2911
0399 2000      0     0    15   125   556  1052 -9999 -9999 -9999 -9999 -9999 -9999  -9999
0499 1930  -9999 -9999 -9999 -9999 -9999 -9999   478   357   284   180    74    52  -9999
0499 1931      3     9    50   141   424   586   630   464   325   291   166    63   3151
0499 1932     20    19    32   140   216   628   641   517   386   311   280    93   3282
0499 1933     13    14    77    80   256   498   457   347   189   162    96    85   2274
0499 1934     13    12    30   124   303   453   538   390   506   277   185    49   2879
0499 1935     18    11    36   167   398   473   459   432   335   240   116    44   2727
0499 1936      7     9    30   114   270   512   818   491   411   295   140    52   3149
0499 1937      7    10    27   105   296   402   451   443   456   282   158    64   2700
0499 1938     11    12    26   168   371   413   526   544   419   201   150    63   2903
0499 1939     13    10    19   119   253   372   441   380   306   226   107    42   2288
0499 1940     15    14    51   119   338   393   473   352   328   325   112    79   2598
0499 1941     10    20    70   183   265   487   484   472   409   313   203    74   2989
0499 1942     10    16    55   125   308   465   497   360   347   242   125    97   2645
0499 1943     17    20    21   137   284   484   523   500   388   347   172   117   3010
0499 1944     34    16    34   131   398   455   540   419   508   291   201    71   3098
0499 1945      8    13    24   119   359   498   532   497   421   238   184    65   2958
0499 1946     11    14    32   223   426   489   591   357   329   217   109    58   2857
0499 1947     16    16    23   147   418   538   446   499   512   318   211    78   3222
0499 1948     21    19    42   148   358   631   807   559   470   215   168    46   3484
0499 1949     18    20    28   186   197   557   677   417   394   232   191    89   3006
0499 1950     12    13    49   103   222   357   536   440   389   277   167    77   2641
0499 1951     17    19    29   137   326   566   623   430   522   278   122   123   3192
0499 1952     13    14    20    97   400   527   394   402   406   323   243   108   2946
0499 1953      9    24    26   134   284   458   537   307   459   223   136    81   2678
0499 1954      7    31    44   147   271   513   633   474   376   353   188    82   3118
0499 1955     33    13    32   139   352   465   478   532   376   311   162    51   2945
0499 1956     17    23    24   181   263   440   607   336   359   270   196    29   2743
0499 1957      7    13    31   183   384   429   472   340   486   254   107    51   2758
0499 1958     14     2    13    63   300   337   424   455   271   164   180    41   2262
0499 1959      3     8    40    84   245   436   589   440   313   236   157    30   2581
0499 1960      4    14    24   147   367   501   446   351   398   233   216    38   2738
0499 1961      4     5    51   134   378   534   525   468   505   193   219    78   3093
0499 1962     24     9    40   142   299   451   580   255   440   384   171    90   2885
0499 1963     20    13    14   114   338   484   554   425   448   314   230    91   3047
0499 1964     13    10    49    73   412   475   491   412   406   292   190   123   2946
0499 1965     25     8    76    66   315   565   566   489   356   187   132    48   2832
0499 1966     19     5    32   107   300   478   493   366   407   497   157    99   2960
0499 1967      8     2    16    82   230   579   535   292   333   252   164    50   2542
0499 1968      8    16    28   139   322   585   505   509   430   284   127    81   3033
0499 1969     11     6    26   181   272   456   470   330   354   345   124    52   2626
0499 1970      7    12    36   161   303   557   513   423   391   319   228    75   3024
0499 1971     11     3    29   202   388   644   585   369   252   259   134    44   2918
0499 1972      4     7    49   164   391   587   582   389   492   269   118    28   3080
0499 1973     13    16    52   138   386   459   542   419   379   283   164    41   2892
0499 1974     10    11    22   124   321   533   509   447   455   434   170    76   3111
0499 1975     17    17    26   180   358   470   446   392   407   340   125    41   2819
0499 1976     10    20    32    94   222   447   520   311   470   221   264    48   2658
0499 1977      9     5    40   100   256   360   435   376   274   310   118    41   2324
0499 1978     10     9    30    72   391   596   580   460   375   262   122    36   2943
0499 1979      8    13     8   120   342   402   424   298   390   237   215    82   2540
0499 1980      8    14    37    92   272   368   404   318   377   211   126    12   2237
0499 1981      7     6    29   179   270   402   570   353   427   287   145    96   2771
0499 1982     16     8    35   129   379   514   450   361   368   338   137    59   2794
0499 1983     14     3    12    79   331   443   424   375   274   260    74    49   2337
0499 1984      3     4     8   178   382   559   531   397   447   174   159    30   2874
0499 1985      2    14    63   131   402   458   331   313   265   238   134    35   2385
0499 1986     15     9    97   124   251   454   538   378   376   153    99    40   2534
0499 1987     29    11    25    64   326   575   491   310   283   227   150    67   2558
0499 1988      4     9    32    79   326   513   556   464   307   139   141    50   2618
0499 1989      9    17    40   136   253   432   487   469   338   181   153    39   2554
0499 1990      4     7    22    82   297   592   479   273   476   277   199    94   2802
0499 1991     13    13    19    65   262   446   494   306   334   147    67    46   2209
0499 1992      7     3    20    79   298   554   522   421   265   205   107    35   2516
0499 1993     15     6    27    93   310   478   430   434   281   226   161    36   2498
0499 1994     13     5    26   148   475   518   457   265   349   266   196    74   2792
0499 1995      7     5    20    84   199   404   436   319   312   178   106    38   2108
0499 1996      3     4    36   138   281   414   452   362   246   210    47    41   2236
0499 1997     10     3    12   118   251   491   446   427   341   311   230    84   2726
0499 1998     10     2    31   154   340   528   454   413   430   326   177    73   2937
0499 1999     15    13    30    67   264   428   420   358   348   187   100    26   2257
0499 2000     17     6    26   162   413   411 -9999 -9999 -9999 -9999 -9999 -9999  -9999
0599 1930  -9999 -9999 -9999 -9999 -9999 -9999  1168   921  1031   641   436    81  -9999
0599 1931      9    39   133   478   987  1203  1362   904  1124   586   325   153   7304
0599 1932     14    32   223   619   832  1465  1165  1221   861   736   463    70   7700
0599 1933      9    53   133   435   778   927  1035   911   790   544   192    92   5899
0599 1934      7    28   280   412   815  1111  1058   946   855   683   543   144   6882
0599 1935     14    30   225   570   963  1154  1237  1197   896   611   291    76   7264
0599 1936      7    31   220   604   885  1114  1613  1060   992   656   321   161   7664
0599 1937     21    16   168   507   887  1185  1171   977   851   625   425   128   6961
0599 1938     37    25   195   475  1043  1172  1186  1277   926   607   293   136   7373
0599 1939     13    51   157   524   841   991  1437  1004   844   638   317    99   6915
0599 1940     14    50   173   462   997  1113  1177   948   994   688   304   181   7100
0599 1941     40    55   281   589   844  1129  1337  1283  1046   565   422   167   7759
0599 1942     27    50   261   560   832  1085  1161   875  1031   459   461   163   6967
