243558 KGGW A-CD GLASGOW INTL AP           MT
243751 KGTF A-CD GREAT FALLS INTL AP       MT
243996 KHVR A-CD HAVRE CITY CO AP          MT
244055 KHLN A-CD HELENA AP                 MT
244558 KFCA A-CD KALISPELL GLACIER PK AP   MT
244985 KLWT A-CD LEWISTOWN MUNICIPAL AP    MT
245086 KLVM ABCD LIVINGSTON AP             MT
245690 KMLS A-CD MILES CITY AP             MT
245745 KMSO A-CD MISSOULA INTL AP          MT
248857 KWEY A-CD WEST YELLOWSTONE          MT
251200 KBBW A-CD BROKEN BOW 2 W            NE
251575 KCDR A-CD CHADRON 1 SSW             NE
252850 KFNB ABCD FALLS CITY 2 NE           NE
253395 KGRI A-CD GRAND ISLAND CTR NE AP    NE
253660 KHSI ABCD HASTINGS 4 N              NE
254110 KIML ABCD IMPERIAL MUNICIPAL AP     NE
254335 KEAR A-CD KEARNEY 4 NE              NE
254795 KLNK A-CD LINCOLN AP                NE
255310 KMCK ABCD MCCOOK                    NE
255995 KOFK A-CD NORFOLK AP                NE
256040 KODX ABCD NORTH LOUP ORD            NE
256065 KLBF A-CD NORTH PLATTE RGNL AP      NE
256255 KOMA A-CD OMAHA EPPLEY AP           NE
257665 KBFF A-CD SCOTTSBLUFF AP            NE
257835 KSNY A-CD SIDNEY 3 S                NE
258760 KVTN A-CD VALENTINE MILLER AP       NE
261358 KP38 A-CD CALIENTE                  NV
262251 KDRA --CD DESERT ROCK AP            NV
262573 KEKO A-CD ELKO                      NV
262631 KELY A-CD ELY                       NV
262708 KP68 A-CD EUREKA                    NV
264436 KLAS ABCD LAS VEGAS AP              NV
264700 KLOL ABCD LOVELOCK DERBY AP         NV
266779 KRNO A-CD RENO CANNON INTL AP       NV
268170 KTPH A-CD TONOPAH AP                NV
269171 KWMC A-CD WINNEMUCCA MUNICIPAL AP   NV
271683 KCON A-CD CONCORD MUNICIPAL AP      NH
274656 KLEB A-CD LEBANON MUNICIPAL AP      NH
275639 KMWN A-CD MOUNT WASHINGTON          NH
280311 KACY ABCD ATLANTIC CITY AP          NJ
285581 KMIV ABCD MILLVILLE MUNICIPAL AP    NJ
286026 KEWR ABCD NEWARK INTL AP            NJ
290234 KABQ ABCD ALBUQUERQUE INTL AP       NM
291475 KCNM ABCD CARLSBAD AP               NM
291887 KCAO A-CD CLAYTON MUNICIPAL AP      NM
293422 KGUP A-CD GALLUP MUNICIPAL AP       NM
293682 KGNT ABCD GRANTS MILAN AP           NM
294856 KLVS A-CD LAS VEGAS MUNICIPAL AP    NM
295490 KRTN A-CD MAXWELL 3 NW (RATON)      NM
297610 KROW ABCD ROSWELL AP                NM
299156 KTCC ABCD TUCUMCARI 4 NE            NM
300042 KALB A-CD ALBANY INTL AP            NY
300687 KBGM A-CD BINGHAMTON BROOME CO AP   NY
301012 KBUF A-CD BUFFALO NIAGARA INTL      NY
302610 KELM ABCD ELMIRA                    NY
303294 KGFL A-CD GLENS FALLS AP            NY
303507 KRME A-CD GRIFFISS AFB              NY
304130 KISP --CD ISLIP LI MACARTHUR AP     NY
305134 KMSS A-CD MASSENA AP                NY
305801 KNYC ABCD NEW YORK CITY CENTRAL PK  NY
305803 KJFK ABCD NEW YORK JFK INTL AP      NY
305811 KLGA ABCD NEW YORK LA GUARDIA AP    NY
306820 KPOU A-CD POUGHKEEPSIE              NY
307167 KROC A-CD ROCHESTER MONROE CO AP    NY
308383 KSYR A-CD SYRACUSE HANCOCK INTL AP  NY
308737 KUCA A-CD UTICA FAA AP              NY
309005 KART A-CD WATERTOWN AP              NY
309140 KHPN ABCD WESTCHESTER CO AP         NY
310300 KAVL ABCD ASHEVILLE RGNL AP         NC
311458 KHSE ABCD CAPE HATTERAS NWS BLDG    NC
311690 KCLT ABCD CHARLOTTE DGLAS INTL AP   NC
312719 KECG -BCD ELIZABETH CITY            NC
313510 KGSB ABCD GOLDSBORO 4 SE            NC
313630 KGSO ABCD GREENSBORO RGNL AP        NC
314020 KHKY ABCD HICKORY RGNL AP           NC
316108 KEWN ABCD NEW BERN CRAVEN CO AP     NC
316891 KPOB ABCD POPE AFB                  NC
317069 KRDU ABCD RALEIGH DURHAM AP         NC
319457 KILM ABCD WILMINGTON NEW HANVR AP   NC
320819 KBIS A-CD BISMARCK MUNICIPAL AP     ND
322183 KDIK A-CD DICKINSON AP              ND
322859 KFAR A-CD FARGO HECTOR AP           ND
323376 KN60 --CD GARRISON 1 NNW            ND
323616 KGFK A-CD GRAND FORKS INTL AP       ND
324413 KJMS A-CD JAMESTOWN MUNICIPAL AP    ND
325988 KMOT A-CD MINOT AP                  ND
329425 KISN A-CD WILLISTON SLOULIN AP      ND
330058 KCAK A-CD AKRON CANTON AP           OH
331576 KLUK A-CD CINCINNATI LUNKEN AP      OH
331657 KCLE A-CD CLEVELAND HOPKNS INTL AP  OH
331786 KCMH ABCD COLUMBUS INTL AP          OH
332075 KDAY ABCD DAYTON INTL AP            OH
332786 KFDY A-CD FINDLAY AP                OH
334865 KMFD A-CD MANSFIELD LAHM AP         OH
338357 KTOL A-CD TOLEDO EXPRESS AP         OH
339219 KILN ABCD WILMINGTON 3 N            OH
339406 KYNG A-CD YOUNGSTOWN MUNICIPAL AP   OH
340548 KBVO ABCD BARTLESVILLE 2 W          OK
343407 KGAG ABCD GAGE AP                   OK
344204 KHBR ABCD HOBART MUNICIPAL AP       OK
345664 KMLC ABCD MCALESTER MUNICIPAL AP    OK
346661 KOKC ABCD OKLAHOMA CITY AP          OK
347201 KPNC ABCD PONCA CITY FAA AP         OK
348501 KSWO ABCD STILLWATER 2 W            OK
348992 KTUL ABCD TULSA INTL AP             OK
350328 KAST -BCD ASTORIA CLATSOP CO AP     OR
350412 KBKE A-CD BAKER                     OR
351175 KBNO A-CD BURNS MUNICIPAL AP        OR
352709 KEUG -BCD EUGENE MAHLON SWEET AP    OR
355429 KMFR ABCD MEDFORD AP                OR
356032 KJNW ABCD NEWPORT                   OR
356073 KOTH ABCD NORTH BEND AP             OR
356546 KPDT ABCD PENDLETON MUNICIPAL AP    OR
356634 KMEH ABCD PILOT ROCK 1 SE           OR
356751 KPDX ABCD PORTLAND INTL AP          OR
357062 KRDM A-CD REDMOND ROBERTS AP        OR
357310 KREO ABCD ROME 2 NW                 OR
357331 KRBG ABCD ROSEBURG KQEN             OR
357500 KSLE ABCD SALEM MCNARY AP           OR
357698 KSXT A-CD SEXTON SUMMIT             OR
360106 KABE A-CD ALLENTOWN LEHIGH VLY AP   PA
360130 KAOO A-CD ALTOONA BLAIR CO AP       PA
360865 KBFD A-CD BRADFORD RGNL AP          PA
362260 KDUJ A-CD DUBOIS JEFFERSON CO AP    PA
362682 KERI A-CD ERIE AP                   PA
363699 KMDT --CD HARRISBURG CAPITAL CITY   PA
366889 KPHL ABCD PHILADELPHIA INTL AP      PA
366993 KPIT A-CD PITTSBURGH INTL AP        PA
369705 KAVP A-CD WILKES BRE SCTN AP AVOCA  PA
369728 KIPT A-CD WILLIAMSPORT LYCOMING AP  PA
376698 KPVD A-CD PROVIDENCE GREEN AP       RI
380170 KAND ABCD ANDERSON CO AP            SC
381544 KCHS ABCD CHARLESTON INTL AP        SC
381939 KCAE ABCD COLUMBIA METRO AP         SC
383106 KFLO ABCD FLORENCE RGNL AP          SC
383747 KGSP ABCD GRNVL SPART AP GREER      SC
390020 KABR A-CD ABERDEEN RGNL AP          SD
392087 KCUT A-CD CUSTER                    SD
392852 KD07 ABCD FAITH                     SD
394127 KHON A-CD HURON AP                  SD
394516 K9V9 ABCD KENNEBEC                  SD
395671 KMHE A-CD MITCHELL 2 N              SD
395691 KMBG ABCD MOBRIDGE 2 NNW            SD
396552 KPHP ABCD PHILIP 1 S                SD
396597 KPIR A-CD PIERRE RGNL AP            SD
396937 KRAP A-CD RAPID CITY RGNL AP        SD
397062 K2WX ABCD REDIG 11 NE BUFFALO       SD
397667 KFSD A-CD SIOUX FALLS AP            SD
397742 K8D3 A-CD SISSETON                  SD
398932 KATY A-CD WATERTOWN MUNICIPAL AP    SD
401094 KTRI ABCD BRISTOL TRI CITY AP       TN
401656 KCHA ABCD CHATTANOOGA AP            TN
402197 KCSV ABCD CROSSVILLE AP             TN
402685 KDYR ABCD DYERSBURG AP              TN
404556 KMKL ABCD JACKSON MCKELLAR-SPES AP  TN
404950 KTYS ABCD KNOXVILLE AP              TN
405954 KMEM ABCD MEMPHIS INTL AP           TN
406402 KBNA ABCD NASHVILLE INTL AP         TN
406750 KOQT ABCD OAK RIDGE ATDD            TN
410016 KABI ABCD ABILENE MUNICIPAL AP      TX
410144 KALI ABCD ALICE                     TX
410211 KAMA ABCD AMARILLO INTL AP          TX
410428 KATT ABCD AUSTIN CITY (CAMP MABRY)  TX
411136 KBRO ABCD BROWNSVILLE AP            TX
411698 KCDS ABCD CHILDRESS MUNICIPAL AP    TX
411889 KCLL ABCD COLLEGE STATION ETRWD AP  TX
412015 KCRP ABCD CORPUS CHRISTI INTL AP    TX
412240 KDHT ABCD DALHART MUNICIPAL AP      TX
412242 KDFW ABCD DALLAS-FT WORTH INTL AP   TX
412244 KDAL ABCD DALLAS LOVE AP            TX
412360 KDRT ABCD DEL RIO INTL AP           TX
412797 KELP ABCD EL PASO INTL AP           TX
413430 KGLS ABCD GALVESTON                 TX
414256 KHDO ABCD HONDO AP                  TX
414300 KIAH ABCD HOUSTON BUSH INTL AP      TX
414307 KHOU ABCD HOUSTON HOBBY AP          TX
414670 KJCT ABCD JUNCTION 4 SSW            TX
415341 KGGG ABCD LONGVIEW                  TX
415411 KLBB ABCD LUBBOCK RGNL AP           TX
415424 KLFK ABCD LUFKIN ANGELINA CO AP     TX
415702 KMFE ABCD MCALLEN MILLER INTL AP    TX
415890 KMAF ABCD MIDLAND INTL AP           TX
415958 KMWL ABCD MINERAL WELLS AP          TX
416750 KPSX ABCD PALACIOS MUNICIPAL AP     TX
417174 KBPT ABCD PORT ARTHUR AP BEAUMONT   TX
417943 KSJT ABCD SAN ANGELO MATHIS AP      TX
417945 KSAT ABCD SAN ANTONIO INTL AP       TX
419207 KTYR -BCD TYLER                     TX
419364 KVCT ABCD VICTORIA RGNL AP          TX
419419 KACT ABCD WACO RGNL AP              TX
419729 KSPS ABCD WICHITA FALLS SHEPPRD AP  TX
419830 KINK ABCD WINK WINKLER CO AP        TX
421267 KCDC A-CD CEDAR CITY AP             UT
425186 KLGU ABCD LOGAN UTAH STATE UNIV     UT
425654 KMLF A-CD MILFORD                   UT
427598 KSLC A-CD SALT LAKE CITY INTL AP    UT
429382 KENV --CD WENDOVER                  UT
431081 KBTV A-CD BURLINGTON INTL AP        VT
435278 KMPV A-CD MONTPELIER AP             VT
437054 K1V4 ABCD SAINT JOHNSBURY           VT
440766 KBCB ABCD BLACKSBURG                VA
444720 KLFI ABCD LANGLEY AIR FORCE BASE    VA
445120 KLYH A-CD LYNCHBURG MUNICIPAL AP    VA
446139 KORF ABCD NORFOLK INTL AP           VA
447201 KRIC ABCD RICHMOND BYRD INTL AP     VA
447285 KROA ABCD ROANOKE WOODRUM AP        VA
448323 KWAL -BCD TANGIER ISLAND            VA
448903 KIAD ABCD WASHINGTON DULLES INTL    VA
448906 KDCA ABCD WASHINGTON REAGAN NTL AP  VA
450574 KBLI ABCD BELLINGHAM INTL AP        WA
451968 KDLS ABCD DALLESPORT AP             WA
452614 KEPH --CD EPHRATA AP                WA
452614 KMWH --CD EPHRATA AP                WA
453807 KHQM ABCD HOQUIAM AP                WA
456114 KOLM ABCD OLYMPIA AP                WA
456789 KPUW A-CD PULLMAN 2 NW              WA
456803 KTIW ABCD PUYALLUP 2 W EXP STN      WA
456858 KUIL ABCD QUILLAYUTE AP             WA
457473 KSEA ABCD SEATTLE TACOMA AP         WA
457584 KSHN -BCD SHELTON                   WA
457938 KGEG --CD SPOKANE AP                WA
457938 KSFF --CD SPOKANE AP                WA
458009 KSMP A-CD STAMPEDE PASS             WA
458928 KALW A-CD WALLA WALLA RGNL AP       WA
459082 KEAT A-CD WENATCHEE AP              WA
459465 KYKM A-CD YAKIMA MUNICIPAL AP       WA
460582 KBKW A-CD BECKLEY AP                WV
460921 KBLF A-CD BLUEFIELD AP              WV
461570 KCRW A-CD CHARLESTON YEAGER AP      WV
462718 KEKN A-CD ELKINS AP                 WV
464393 KHTS ABCD HUNTINGTON TRI STATE      WV
465707 KMRB A-CD MARTINSBURG RGNL AP       WV
466202 KMGW A-CD MORGANTOWN HART AP        WV
466849 KPKB ABCD PARKERSBURG AP            WV
470349 KASX A-CD ASHLAND EXP FARM          WI
472428 KEAU A-CD EAU CLAIRE RGNL AP        WI
472839 KFLD ABCD FOND DU LAC               WI
473269 KGRB A-CD GREEN BAY STRBL INTL AP   WI
474370 KLSE A-CD LA CROSSE MUNICIPAL AP    WI
474821 KLNR --CD LONE ROCK TRI CO          WI
474961 KMSN A-CD MADISON DANE CO AP        WI
475120 KMFI A-CD MARSHFIELD EXP FARM       WI
475479 KMKE A-CD MILWAUKEE MITCHELL AP     WI
476330 KOSH A-CD OSHKOSH                   WI
478968 KAUW A-CD WAUSAU AP                 WI
479335 KISW A-CD WISCONSIN RAPIDS          WI
480695 KBPI --CD BIG PINEY                 WY
481570 KCPR A-CD CASPER NATRONA CO AP      WY
481675 KCYS A-CD CHEYENNE MUNICIPAL AP     WY
483855 KGCC ABCD GILLETTE 6 SE             WY
484910 KJAC A-CD JACKSON                   WY
485345 KP60 A-CD LAKE YELLOWSTONE          WY
485390 KLND A-CD LANDER AP                 WY
485415 KLAR A-CD LARAMIE RGNL AP           WY
487533 KRWL A-CD RAWLINS AP                WY
487760 KRIW ABCD RIVERTON                  WY
487845 KRKS A-CD ROCK SPRINGS AP           WY
488155 KSHR A-CD SHERIDAN AP               WY
489785 KWRL A-CD WORLAND MUNICIPAL AP      WY
500026 PADK A-CD ADAK                      AK
500280 PANC A-CD ANCHORAGE INTL AP         AK
500352 PANT ABCD ANNETTE AP                AK
500546 PABR A-CD BARROW AP                 AK
500754 PABE A-CD BETHEL AP                 AK
500761 PABT A-CD BETTLES AP                AK
500770 PABI A-CD BIG DELTA ALLEN AAF       AK
501492 PALR A-CD CHANDALAR LAKE            AK
502102 PACD A-CD COLD BAY AP               AK
502177 PACV A-CD CORDOVA AP                AK
502457 PADL --CD DILLINGHAM AP             AK
502785 PALV ABCD ELFIN COVE                AK
502820 PAED A-CD ELMENDORF AFB             AK
502968 PAFA A-CD FAIRBANKS INTL AP         AK
503465 PAGK A-CD GULKANA AP                AK
503490 PAHN A-CD HAINES                    AK
503665 PAHO A-CD HOMER AP                  AK
503905 PAIL A-CD ILIAMNA AP                AK
504100 PAJN A-CD JUNEAU INTL AP            AK
504546 PAEN A-CD KENAI MUNICIPAL AP        AK
504766 PAKN A-CD KING SALMON AP            AK
504988 PADQ ABCD KODIAK AP                 AK
505076 PAOT A-CD KOTZEBUE WIEN AP          AK
505769 PAMC A-CD MCGRATH AP                AK
